"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"01/02/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/05/2006","46","Ozone","Centennial","56-001-9991","AQS","46","25","."
"01/06/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/07/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/08/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/09/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/10/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"01/11/2006","44","Ozone","Centennial","56-001-9991","AQS","44","40","."
"01/12/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/13/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/14/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/15/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/16/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/17/2006","44","Ozone","Centennial","56-001-9991","AQS","44","35","."
"01/18/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/19/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/20/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/21/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"01/22/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"01/23/2006","45","Ozone","Centennial","56-001-9991","AQS","45","24","."
"01/24/2006","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"01/25/2006","50","Ozone","Centennial","56-001-9991","AQS","50",".","."
"01/26/2006","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"01/27/2006","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
"01/28/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"01/29/2006","44","Ozone","Centennial","56-001-9991","AQS","44","39","."
"01/30/2006","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"01/31/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/01/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/02/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/03/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/04/2006","51","Ozone","Centennial","56-001-9991","AQS","51","15","."
"02/05/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"02/06/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/07/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/08/2006","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"02/09/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/10/2006","43","Ozone","Centennial","56-001-9991","AQS","43","17","."
"02/11/2006","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/12/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"02/13/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"02/14/2006","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/15/2006","42","Ozone","Centennial","56-001-9991","AQS","42",".","."
"02/16/2006","44","Ozone","Centennial","56-001-9991","AQS","44","20","."
"02/17/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/18/2006","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
"02/19/2006","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/20/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/21/2006","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/22/2006","67","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","46","67","."
"02/23/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"02/24/2006","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"02/25/2006","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/26/2006","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"02/27/2006","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
