"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2009","43","Ozone","Centennial","56-001-9991","AQS","43","26","."
"01/02/2009","40","Ozone","Centennial","56-001-9991","AQS","40","12","."
"01/03/2009","41","Ozone","Centennial","56-001-9991","AQS","41","6","."
"01/04/2009","45","Ozone","Centennial","56-001-9991","AQS","45","11","."
"01/05/2009","46","Ozone","Centennial","56-001-9991","AQS","46","37","."
"01/06/2009","37","Ozone","Centennial","56-001-9991","AQS","37","7","."
"01/07/2009","152","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","35","152","."
"01/08/2009","37","Ozone","Centennial","56-001-9991","AQS","37","17","."
"01/09/2009","38","Ozone","Centennial","56-001-9991","AQS","38","19","."
"01/10/2009","42","Ozone","Centennial","56-001-9991","AQS","42","31","."
"01/11/2009","42","Ozone","Centennial","56-001-9991","AQS","42","31","."
"01/12/2009","40","Ozone","Centennial","56-001-9991","AQS","40","27","."
"01/13/2009","65","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","37","65","."
"01/14/2009","54","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","39","54","."
"01/15/2009","42","Ozone","Centennial","56-001-9991","AQS","42","19","."
"01/16/2009","42","Ozone","Centennial","56-001-9991","AQS","42","21","."
"01/17/2009","44","Ozone","Centennial","56-001-9991","AQS","44","16","."
"01/18/2009","44","Ozone","Centennial","56-001-9991","AQS","44","23","."
"01/19/2009","39","Ozone","Centennial","56-001-9991","AQS","39","15","."
"01/20/2009","38","Ozone","Centennial","56-001-9991","AQS","38","15","."
"01/21/2009","44","Ozone","Centennial","56-001-9991","AQS","44","32","."
"01/22/2009","58","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","58","."
"01/23/2009","36","Ozone","Centennial","56-001-9991","AQS","36","14","."
"01/24/2009","35","Ozone","Centennial","56-001-9991","AQS","35","16","."
"01/25/2009","42","Ozone","Centennial","56-001-9991","AQS","42","14","."
"01/26/2009","42","Ozone","Centennial","56-001-9991","AQS","42","25","."
"01/27/2009","44","Ozone","Centennial","56-001-9991","AQS","44","32","."
"01/28/2009","49","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","41","49","."
"01/29/2009","60","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","60","."
"01/30/2009","46","Ozone","Centennial","56-001-9991","AQS","46","21","."
"01/31/2009","65","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","46","65","."
"02/01/2009","47","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","47","."
"02/02/2009","70","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","41","70","."
"02/03/2009","44","Ozone","Centennial","56-001-9991","AQS","44","40","."
"02/04/2009","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/05/2009","45","Ozone","Centennial","56-001-9991","AQS","45","29","."
"02/06/2009","67","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","46","67","."
"02/07/2009","43","Ozone","Centennial","56-001-9991","AQS","43","20","."
"02/08/2009","40","Ozone","Centennial","56-001-9991","AQS","40","24","."
"02/09/2009","63","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","63","."
"02/10/2009","47","Ozone","Centennial","56-001-9991","AQS","47","12","."
"02/11/2009","55","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","55","."
"02/12/2009","44","Ozone","Centennial","56-001-9991","AQS","44","16","."
"02/13/2009","45","Ozone","Centennial","56-001-9991","AQS","45","12","."
"02/14/2009","46","Ozone","Centennial","56-001-9991","AQS","46","13","."
"02/15/2009","46","Ozone","Centennial","56-001-9991","AQS","46","18","."
"02/16/2009","47","Ozone","Centennial","56-001-9991","AQS","47","26","."
"02/17/2009","52","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","52","."
"02/18/2009","52","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","42","52","."
"02/19/2009","45","Ozone","Centennial","56-001-9991","AQS","45","40","."
"02/20/2009","70","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","49","70","."
"02/21/2009","64","Ozone","Centennial","56-001-9991","AQS","64","15","."
"02/22/2009","51","Ozone","Centennial","56-001-9991","AQS","51","19","."
"02/23/2009","42","Ozone","Centennial","56-001-9991","AQS","42","23","."
"02/24/2009","39","Ozone","Centennial","56-001-9991","AQS","39","31","."
"02/25/2009","39","Ozone","Centennial","56-001-9991","AQS","39","21","."
"02/26/2009","54","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","54","."
"02/27/2009","97","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","46","97","."
"02/28/2009","67","Ozone","Centennial","56-001-9991","AQS","67","15","."
"03/01/2009","54","Ozone","Centennial","56-001-9991","AQS","54","21","."
"03/02/2009","56","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","44","56","."
"03/03/2009","44","Ozone","Centennial","56-001-9991","AQS","44","36","."
"03/04/2009","73","PM10","NORTH SITE...NORTH OF MT. CEMENT PLANT","56-001-0801","AQS","51","73","."
"03/05/2009","65","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","49","65","."
"03/06/2009","61","Ozone","Centennial","56-001-9991","AQS","61","25","."
"03/07/2009","51","Ozone","Centennial","56-001-9991","AQS","51","17","."
"03/08/2009","67","Ozone","Centennial","56-001-9991","AQS","67","42","."
"03/09/2009","58","Ozone","Centennial","56-001-9991","AQS","58","53","."
"03/10/2009","80","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","50","80","."
"03/11/2009","61","Ozone","Centennial","56-001-9991","AQS","61","18","."
"03/12/2009","54","Ozone","Centennial","56-001-9991","AQS","54","21","."
"03/13/2009","51","Ozone","Centennial","56-001-9991","AQS","51","26","."
"03/14/2009","58","Ozone","Centennial","56-001-9991","AQS","58","15","."
"03/15/2009","60","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","54","60","."
"03/16/2009","54","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","47","54","."
"03/17/2009","49","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","46","49","."
"03/18/2009","45","Ozone","Centennial","56-001-9991","AQS","45","40","."
"03/19/2009","46","Ozone","Centennial","56-001-9991","AQS","46","28","."
"03/20/2009","47","Ozone","Centennial","56-001-9991","AQS","47","27","."
"03/21/2009","61","Ozone","Centennial","56-001-9991","AQS","61","49","."
"03/22/2009","50","Ozone","Centennial","56-001-9991","AQS","50","44","."
"03/23/2009","51","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","49","51","."
"03/24/2009","51","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","48","51","."
"03/25/2009","48","Ozone","Centennial","56-001-9991","AQS","48","29","."
"03/26/2009","58","PM10","MT. CEMENT CO. EAST SITE...EAST OF PLANT.","56-001-0800","AQS","54","58","."
"03/27/2009","61","Ozone","Centennial","56-001-9991","AQS","61","17","."
"03/28/2009","51","Ozone","Centennial","56-001-9991","AQS","51","29","."
"03/29/2009","87","Ozone","Centennial","56-001-9991","AQS","87","41","."
