"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2008","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","15"
"01/02/2008","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"01/03/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"01/04/2008","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","12"
"01/05/2008","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"01/06/2008","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","."
"01/07/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","6"
"01/08/2008","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","."
"01/09/2008","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","."
"01/10/2008","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","10"
"01/11/2008","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","."
"01/12/2008","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","."
"01/13/2008","25","PM2.5","PAINTED CANYON","38-007-0002","AQS","24","25"
"01/14/2008","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","."
"01/15/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"01/16/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","6"
"01/17/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"01/18/2008","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","."
"01/19/2008","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","8"
"01/20/2008","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","."
"01/21/2008","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"01/22/2008","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","11"
"01/23/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"01/24/2008","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"01/25/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","18"
"01/26/2008","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","."
"01/27/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"01/28/2008","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","21"
"01/29/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"01/30/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"01/31/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","9"
"02/01/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/02/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/03/2008","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","14"
"02/04/2008","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","."
"02/05/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/06/2008","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","8"
"02/07/2008","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/08/2008","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","11"
"02/09/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","14"
"02/10/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"02/11/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/12/2008","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","21"
"02/13/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/14/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"02/15/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","8"
"02/16/2008","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/17/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/18/2008","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","13"
"02/19/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/20/2008","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"02/21/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","21"
"02/22/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"02/23/2008","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"02/24/2008","45","PM2.5","PAINTED CANYON","38-007-0002","AQS","41","45"
"02/25/2008","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"02/26/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"02/27/2008","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","21"
"02/28/2008","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/29/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"03/01/2008","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","10"
"03/02/2008","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"03/03/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/04/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","19"
"03/05/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/06/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/07/2008","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","10"
"03/08/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/09/2008","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"03/10/2008","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","6"
"03/11/2008","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","."
"03/12/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/13/2008","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","5"
"03/14/2008","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"03/15/2008","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"03/16/2008","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","18"
"03/17/2008","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","."
"03/18/2008","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","."
"03/19/2008","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","21"
"03/20/2008","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","17"
"03/21/2008","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"03/22/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","20"
"03/23/2008","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"03/24/2008","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","."
"03/25/2008","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","8"
"03/26/2008","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"03/27/2008","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"03/28/2008","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","7"
"03/29/2008","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/30/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/31/2008","41","PM2.5","PAINTED CANYON","38-007-0002","AQS","38","41"
"04/01/2008","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"04/02/2008","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","."
