"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2018","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","4"
"01/02/2018","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","13"
"01/03/2018","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","8"
"01/04/2018","10","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","10"
"01/05/2018","49","PM2.5","PAINTED CANYON","38-007-0002","AQS","31","49"
"01/06/2018","29","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","29"
"01/07/2018","13","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","13"
"01/08/2018","5","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","5"
"01/09/2018","0","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","0"
"01/10/2018","7","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","7"
"01/11/2018","13","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","13"
"01/12/2018","41","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","41"
"01/13/2018","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","26"
"01/14/2018","8","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","8"
"01/15/2018","18","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","18"
"01/16/2018","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","15"
"01/17/2018","18","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","18"
"01/18/2018","7","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","7"
"01/19/2018","4","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","4"
"01/20/2018","5","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","5"
"01/21/2018","6","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","6"
"01/22/2018","5","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","5"
"01/23/2018","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","4"
"01/24/2018","5","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","5"
"01/25/2018","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","11"
"01/26/2018","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","9"
"01/27/2018","26","PM2.5","PAINTED CANYON","38-007-0002","AQS","21","26"
"01/28/2018","33","PM2.5","PAINTED CANYON","38-007-0002","AQS","23","33"
"01/29/2018","22","Ozone","PAINTED CANYON","38-007-0002","AQS","22","21"
"01/30/2018","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","15"
"02/01/2018","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","13"
"02/02/2018","23","Ozone","PAINTED CANYON","38-007-0002","AQS","23","16"
"02/03/2018","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","23"
"02/04/2018","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","10"
"02/05/2018","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","8"
"02/06/2018","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","22"
"02/07/2018","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","33"
"02/08/2018","36","PM2.5","PAINTED CANYON","38-007-0002","AQS","32","36"
"02/09/2018","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","21"
"02/10/2018","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","7"
"02/11/2018","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","0"
"02/12/2018","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","18"
"02/13/2018","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","22"
"02/14/2018","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","14"
"02/15/2018","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","10"
"02/16/2018","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","13"
"02/17/2018","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","7"
"02/18/2018","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","5"
"02/19/2018","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","12"
"02/20/2018","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","9"
"02/21/2018","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"02/22/2018","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","18"
"02/23/2018","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","19"
"02/24/2018","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","20"
"02/25/2018","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","10"
"02/26/2018","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","7"
"02/27/2018","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","5"
"02/28/2018","5","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","5"
"03/01/2018","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","0"
"03/02/2018","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","21"
"03/03/2018","41","PM2.5","PAINTED CANYON","38-007-0002","AQS","34","41"
"03/04/2018","37","PM2.5","PAINTED CANYON","38-007-0002","AQS","32","37"
"03/05/2018","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","5"
"03/06/2018","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","26"
"03/07/2018","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","28"
"03/08/2018","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","20"
"03/09/2018","43","PM2.5","PAINTED CANYON","38-007-0002","AQS","42","43"
"03/10/2018","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","29"
"03/11/2018","50","Ozone","PAINTED CANYON","38-007-0002","AQS","50","39"
"03/12/2018","51","Ozone","PAINTED CANYON","38-007-0002","AQS","51","38"
"03/13/2018","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","34"
"03/14/2018","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","34"
"03/15/2018","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","26"
"03/16/2018","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","20"
"03/17/2018","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","21"
"03/18/2018","41","PM2.5","PAINTED CANYON","38-007-0002","AQS","36","41"
