"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"05/27/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","8"
"05/28/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","2"
"05/29/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","9"
"05/30/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","25"
"05/31/2020","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","18"
"06/01/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","8"
"06/02/2020","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","13"
"06/03/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","11"
"06/04/2020","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","10"
"06/05/2020","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","12"
"06/06/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","21"
"06/07/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","8"
"06/08/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","7"
"06/09/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","8"
"06/10/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","4"
"06/11/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","5"
"06/12/2020","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","13"
"06/13/2020","50","Ozone","PAINTED CANYON","38-007-0002","AQS","50","."
"06/14/2020","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","21"
"06/15/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","5"
"06/16/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","25"
"06/17/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","5"
"06/18/2020","20","Ozone","PAINTED CANYON","38-007-0002","AQS","20","0"
"06/19/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","11"
"06/20/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","10"
"06/21/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","6"
"06/22/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","6"
"06/23/2020","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","12"
"06/24/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","11"
"06/25/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","9"
"06/26/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","16"
"06/27/2020","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","8"
"06/28/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","12"
"06/29/2020","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","29"
"06/30/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","1"
"07/01/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","2"
"07/02/2020","54","Ozone","PAINTED CANYON","38-007-0002","AQS","54","13"
"07/03/2020","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","8"
"07/04/2020","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","2"
"07/05/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","3"
"07/06/2020","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","10"
"07/07/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","9"
"07/08/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","6"
"07/09/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","3"
"07/10/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","5"
"07/11/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","3"
"07/12/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","7"
"07/13/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","5"
"07/14/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","5"
"07/15/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","9"
"07/16/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","8"
"07/17/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","10"
"07/18/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","5"
"07/19/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","6"
"07/20/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","4"
"07/21/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","3"
"07/22/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","10"
"07/23/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","24"
"07/24/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","15"
"07/25/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","12"
"07/26/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","8"
"07/27/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","10"
"07/28/2020","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","16"
"07/29/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","14"
"07/30/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","5"
"07/31/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","20"
"08/01/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","16"
"08/02/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","18"
"08/03/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","9"
"08/04/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","15"
"08/05/2020","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","15"
"08/06/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","18"
"08/07/2020","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","15"
"08/08/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","13"
"08/09/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","10"
"08/10/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","8"
"08/11/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","10"
"08/12/2020","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","16"
"08/13/2020","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","18"
"08/14/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","8"
"08/15/2020","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","16"
"08/16/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","18"
"08/17/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","16"
"08/18/2020","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","23"
"08/19/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","28"
"08/20/2020","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","32"
"08/21/2020","51","PM2.5","PAINTED CANYON","38-007-0002","AQS","50","51"
"08/22/2020","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","38"
"08/23/2020","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","16"
"08/24/2020","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","36"
"08/25/2020","61","PM2.5","PAINTED CANYON","38-007-0002","AQS","51","61"
"08/26/2020","51","PM2.5","PAINTED CANYON","38-007-0002","AQS","47","51"
"08/27/2020","44","PM2.5","PAINTED CANYON","38-007-0002","AQS","42","44"
"08/28/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","10"
"08/29/2020","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","20"
"08/30/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","14"
"08/31/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","11"
"09/01/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","10"
"09/02/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","13"
"09/03/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","7"
"09/04/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","10"
"09/05/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","27"
"09/06/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","17"
"09/07/2020","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","8"
"09/08/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","25"
"09/09/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","26"
"09/10/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","24"
"09/11/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","30"
"09/12/2020","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","15"
"09/13/2020","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","13"
"09/14/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","26"
"09/15/2020","53","PM2.5","PAINTED CANYON","38-007-0002","AQS","22","53"
"09/16/2020","41","PM2.5","PAINTED CANYON","38-007-0002","AQS","27","41"
"09/17/2020","49","PM2.5","PAINTED CANYON","38-007-0002","AQS","32","49"
"09/18/2020","49","PM2.5","PAINTED CANYON","38-007-0002","AQS","31","49"
"09/19/2020","32","PM2.5","PAINTED CANYON","38-007-0002","AQS","31","32"
"09/20/2020","53","PM2.5","PAINTED CANYON","38-007-0002","AQS","34","53"
"09/21/2020","41","PM2.5","PAINTED CANYON","38-007-0002","AQS","40","41"
"09/22/2020","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","46"
"09/23/2020","52","PM2.5","PAINTED CANYON","38-007-0002","AQS","43","52"
"09/24/2020","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","42"
"09/25/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","12"
"09/26/2020","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","13"
"09/27/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","5"
"09/28/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","6"
"09/29/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","18"
"09/30/2020","9","PM2.5","PAINTED CANYON","38-007-0002","AQS",".","9"
"10/01/2020","20","Ozone","PAINTED CANYON","38-007-0002","AQS","20","8"
"10/02/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","12"
"10/03/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","20"
"10/04/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","32"
"10/05/2020","39","PM2.5","PAINTED CANYON","38-007-0002","AQS","36","39"
"10/06/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","18"
"10/07/2020","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","4"
"10/08/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","33"
"10/09/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","31"
"10/10/2020","42","PM2.5","PAINTED CANYON","38-007-0002","AQS","37","42"
"10/11/2020","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","19"
"10/12/2020","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","4"
"10/13/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","10"
"10/14/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","3"
"10/15/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","15"
"10/16/2020","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","8"
"10/17/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","17"
"10/18/2020","23","Ozone","PAINTED CANYON","38-007-0002","AQS","23","11"
"10/19/2020","20","Ozone","PAINTED CANYON","38-007-0002","AQS","20","16"
"10/20/2020","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","13"
"10/21/2020","26","PM2.5","PAINTED CANYON","38-007-0002","AQS","25","26"
"10/22/2020","39","PM2.5","PAINTED CANYON","38-007-0002","AQS","27","39"
"10/23/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","23"
"10/24/2020","27","PM2.5","PAINTED CANYON","38-007-0002","AQS","26","27"
"10/25/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","14"
"10/26/2020","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","17"
"10/27/2020","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","16"
"10/28/2020","23","Ozone","PAINTED CANYON","38-007-0002","AQS","23","6"
"10/29/2020","18","Ozone","PAINTED CANYON","38-007-0002","AQS","18","11"
"10/30/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","15"
"10/31/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","9"
"11/01/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","16"
"11/02/2020","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","17"
"11/03/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","4"
"11/04/2020","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","4"
"11/05/2020","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","21"
"11/06/2020","29","PM2.5","PAINTED CANYON","38-007-0002","AQS","24","29"
"11/07/2020","48","PM2.5","PAINTED CANYON","38-007-0002","AQS","9","48"
"11/08/2020","25","Ozone","PAINTED CANYON","38-007-0002","AQS","25","8"
"11/09/2020","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","7"
"11/10/2020","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","6"
