"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","6"
"01/02/2016","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","7"
"01/03/2016","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","6"
"01/04/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","8"
"01/05/2016","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","23"
"01/06/2016","61","PM2.5","PAINTED CANYON","38-007-0002","AQS","23","61"
"01/07/2016","33","PM2.5","PAINTED CANYON","38-007-0002","AQS","22","33"
"01/08/2016","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","28"
"01/09/2016","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","17"
"01/10/2016","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","18"
"01/11/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","15"
"01/12/2016","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","20"
"01/13/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","5"
"01/14/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","30"
"01/15/2016","43","PM2.5","PAINTED CANYON","38-007-0002","AQS","26","43"
"01/16/2016","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","16"
"01/17/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","11"
"01/18/2016","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","10"
"01/19/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","10"
"01/20/2016","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","22"
"01/21/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","25"
"01/22/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","13"
"01/23/2016","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","9"
"01/24/2016","30","PM2.5","PAINTED CANYON","38-007-0002","AQS","23","30"
"01/25/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","24"
"01/26/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","12"
"01/27/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","5"
"01/28/2016","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","4"
"01/29/2016","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","6"
"01/30/2016","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","7"
"01/31/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","7"
"02/01/2016","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","16"
"02/02/2016","35","PM2.5","PAINTED CANYON","38-007-0002","AQS","29","35"
"02/03/2016","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","22"
"02/04/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","20"
"02/05/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","10"
"02/06/2016","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","4"
"02/07/2016","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","7"
"02/08/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","7"
"02/09/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","8"
"02/10/2016","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","17"
"02/11/2016","47","PM2.5","PAINTED CANYON","38-007-0002","AQS","27","47"
"02/12/2016","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","20"
"02/13/2016","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","24"
"02/14/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","5"
"02/15/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","4"
"02/16/2016","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","10"
"02/17/2016","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","4"
"02/18/2016","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","9"
"02/19/2016","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","8"
"02/20/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","10"
"02/21/2016","24","Ozone","PAINTED CANYON","38-007-0002","AQS","24","23"
"02/22/2016","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","12"
"02/23/2016","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","13"
"02/24/2016","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","10"
"02/25/2016","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","5"
"02/26/2016","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","3"
"02/27/2016","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","7"
"02/28/2016","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","10"
"02/29/2016","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","20"
"03/01/2016","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","11"
"03/02/2016","27","Ozone","PAINTED CANYON","38-007-0002","AQS","27","11"
"03/03/2016","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","27"
"03/04/2016","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","7"
"03/05/2016","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","7"
"03/06/2016","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","5"
