"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","8"
"01/02/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/03/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"01/04/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","8"
"01/05/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/06/2013","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","."
"01/07/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","3"
"01/08/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"01/09/2013","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"01/10/2013","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","17"
"01/11/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/12/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"01/13/2013","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","21"
"01/14/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/15/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/16/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","8"
"01/17/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/18/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/19/2013","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","9"
"01/20/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"01/21/2013","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","."
"01/22/2013","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","12"
"01/23/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"01/24/2013","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"01/25/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","15"
"01/26/2013","28","Ozone","PAINTED CANYON","38-007-0002","AQS","28","."
"01/27/2013","33","Ozone","PAINTED CANYON","38-007-0002","AQS","33","."
"01/28/2013","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","4"
"01/29/2013","30","Ozone","PAINTED CANYON","38-007-0002","AQS","30","."
"01/30/2013","26","Ozone","PAINTED CANYON","38-007-0002","AQS","26","."
"01/31/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","10"
"02/01/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/02/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","."
"02/03/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","13"
"02/04/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"02/05/2013","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","."
"02/06/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","4"
"02/07/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/08/2013","22","Ozone","PAINTED CANYON","38-007-0002","AQS","22","."
"02/09/2013","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","30"
"02/10/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"02/11/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/12/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/13/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"02/14/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/15/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","7"
"02/16/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/17/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"02/18/2013","34","Ozone","PAINTED CANYON","38-007-0002","AQS","34","12"
"02/19/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"02/20/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"02/21/2013","26","PM2.5","PAINTED CANYON","38-007-0002","AQS","26","26"
"02/22/2013","35","Ozone","PAINTED CANYON","38-007-0002","AQS","35","."
"02/23/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"02/24/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","13"
"02/25/2013","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","."
"02/26/2013","39","Ozone","PAINTED CANYON","38-007-0002","AQS","39","."
"02/27/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","40"
"02/28/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"03/01/2013","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/02/2013","29","Ozone","PAINTED CANYON","38-007-0002","AQS","29","5"
"03/03/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"03/04/2013","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"03/05/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","15"
"03/06/2013","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/07/2013","32","Ozone","PAINTED CANYON","38-007-0002","AQS","32","."
"03/08/2013","31","Ozone","PAINTED CANYON","38-007-0002","AQS","31","."
"03/09/2013","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","."
"03/10/2013","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","."
"03/11/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","19"
"03/12/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"03/13/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"03/14/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","14"
"03/15/2013","38","Ozone","PAINTED CANYON","38-007-0002","AQS","38","."
"03/16/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"03/17/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","25"
"03/18/2013","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"03/19/2013","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/20/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","11"
"03/21/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","."
"03/22/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","."
"03/23/2013","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","19"
"03/24/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"03/25/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","."
"03/26/2013","40","Ozone","PAINTED CANYON","38-007-0002","AQS","40","11"
"03/27/2013","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"03/28/2013","42","Ozone","PAINTED CANYON","38-007-0002","AQS","42","."
"03/29/2013","55","PM2.5","PAINTED CANYON","38-007-0002","AQS","42","55"
"03/30/2013","54","Ozone","PAINTED CANYON","38-007-0002","AQS","54","."
"03/31/2013","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","."
"04/01/2013","50","Ozone","PAINTED CANYON","38-007-0002","AQS","50","15"
"04/02/2013","46","Ozone","PAINTED CANYON","38-007-0002","AQS","46","."
"04/03/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","."
"04/04/2013","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","17"
"04/05/2013","36","Ozone","PAINTED CANYON","38-007-0002","AQS","36","."
"04/06/2013","37","Ozone","PAINTED CANYON","38-007-0002","AQS","37","."
"04/07/2013","45","Ozone","PAINTED CANYON","38-007-0002","AQS","45","20"
"04/08/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"04/09/2013","43","Ozone","PAINTED CANYON","38-007-0002","AQS","43","."
"04/10/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","20"
"04/11/2013","48","Ozone","PAINTED CANYON","38-007-0002","AQS","48","."
"04/12/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","."
"04/13/2013","41","Ozone","PAINTED CANYON","38-007-0002","AQS","41","13"
"04/14/2013","44","Ozone","PAINTED CANYON","38-007-0002","AQS","44","."
"04/15/2013","47","Ozone","PAINTED CANYON","38-007-0002","AQS","47","."
"04/16/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","15"
"04/17/2013","50","Ozone","PAINTED CANYON","38-007-0002","AQS","50","."
"04/18/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","."
"04/19/2013","49","Ozone","PAINTED CANYON","38-007-0002","AQS","49","14"
