,Texas,Florida,California,Ohio,Pennsylvania,New York,West Virginia,Oklahoma,Wyoming,North Dakota
2000-01-01,46.539256198347104,24.744897959183675,14.659090909090908,49.49186991869919,7.195121951219512,0.0,37.142857142857146,12.77056277056277,0.8009153318077804,25.19083969465649
2000-02-01,50.867768595041326,29.030612244897963,7.909090909090909,43.577235772357724,3.2195121951219505,0.0,22.5,20.476190476190474,0.0,31.70483460559796
2000-03-01,52.63429752066116,52.67857142857143,1.0227272727272727,37.60162601626016,1.2195121951219512,0.5458515283842795,17.946428571428573,6.0606060606060606,0.0,22.519083969465647
2000-04-01,43.336776859504134,63.26530612244898,0.5681818181818181,23.06910569105691,1.4634146341463414,0.0,21.607142857142858,2.0562770562770565,4.862700228832952,16.666666666666668
2000-05-01,39.58677685950413,70.05102040816327,0.0,6.016260162601626,0.0,0.0,12.857142857142858,0.9956709956709957,6.1784897025171635,8.600508905852418
2000-06-01,24.43181818181818,84.94897959183675,0.0,0.1016260162601626,0.0,0.0,6.428571428571429,0.9199134199134199,11.155606407322654,2.2264631043257
2000-07-01,18.026859504132233,82.20663265306123,0.45454545454545453,0.0,0.0,0.0,0.625,2.380952380952381,25.858123569794053,0.0
2000-08-01,33.88429752066116,68.57142857142858,4.363636363636364,0.0,0.0,0.0,0.0,5.757575757575758,26.407322654462245,0.10178117048346055
2000-09-01,62.34504132231405,51.275510204081634,2.784090909090909,0.0,0.0,0.0,0.0,47.13203463203463,33.066361556064074,1.2086513994910941
2000-10-01,54.29752066115702,46.93877551020408,2.4545454545454546,0.3252032520325203,1.4634146341463414,0.0,9.428571428571429,46.70995670995671,28.009153318077807,3.4096692111959284
2000-11-01,14.049586776859504,67.47448979591837,0.0,2.642276422764228,10.121951219512194,0.5458515283842795,24.642857142857146,0.0,21.91075514874142,0.0
2000-12-01,11.673553719008265,79.33673469387756,0.0,3.8617886178861784,12.317073170731707,0.0,41.42857142857143,0.0,17.33409610983982,0.0
2001-01-01,10.661157024793388,80.10204081632654,6.181818181818182,1.2195121951219512,16.09756097560976,3.1441048034934496,32.357142857142854,0.0,12.631578947368421,0.10178117048346055
2001-02-01,8.832644628099175,92.98469387755102,7.954545454545454,0.0,23.78048780487805,4.039301310043668,23.482142857142858,0.0,25.629290617848973,0.2544529262086514
2001-03-01,9.142561983471074,92.09183673469389,6.931818181818182,9.552845528455284,18.536585365853657,2.9475982532751095,16.607142857142858,0.0,31.979405034324945,0.2544529262086514
2001-04-01,9.142561983471076,81.56887755102042,11.022727272727273,21.646341463414632,6.7073170731707314,0.7641921397379914,21.42857142857143,0.0,27.45995423340961,0.6361323155216285
2001-05-01,9.421487603305787,88.77551020408164,13.181818181818182,25.203252032520325,59.1219512195122,44.62882096069869,43.214285714285715,0.3463203463203463,25.583524027459955,0.0
2001-06-01,14.87603305785124,71.61989795918367,20.454545454545453,0.0,24.390243902439025,17.685589519650655,0.08928571428571429,0.8116883116883117,32.09382151029749,0.0
2001-07-01,29.958677685950413,46.683673469387756,23.227272727272727,8.048780487804878,17.95121951219512,17.030567685589524,0.14285714285714285,23.982683982683984,50.389016018306634,0.0
2001-08-01,38.739669421487605,8.16326530612245,25.96590909090909,26.117886178861788,44.146341463414636,51.41921397379913,0.35714285714285715,37.5,58.52402745995424,0.0
2001-09-01,22.31404958677686,7.971938775510204,35.79545454545455,24.085365853658537,48.048780487804876,41.70305676855895,2.053571428571429,21.103896103896105,62.18535469107552,0.6361323155216284
2001-10-01,23.057851239669425,4.8979591836734695,38.22727272727273,11.463414634146343,43.70731707317073,23.231441048034934,8.285714285714286,16.363636363636363,61.967963386727696,12.213740458015268
2001-11-01,28.82231404958678,8.22704081632653,37.32954545454545,2.642276422764228,52.5609756097561,34.1703056768559,47.14285714285714,22.077922077922075,61.55606407322655,17.55725190839695
2001-12-01,24.173553719008265,11.926020408163266,22.102272727272727,1.1178861788617886,49.51219512195122,31.87772925764192,47.76785714285714,24.18831168831169,59.267734553775746,23.66412213740458
2002-01-01,23.305785123966942,13.214285714285714,3.590909090909091,0.5691056910569106,45.756097560975604,27.248908296943235,40.5,29.220779220779217,62.517162471395885,22.646310432569976
2002-02-01,18.49173553719008,12.11734693877551,9.204545454545455,0.2032520325203252,74.7560975609756,37.33624454148472,60.35714285714286,15.963203463203463,67.5629290617849,25.69974554707379
2002-03-01,24.328512396694215,12.755102040816327,14.318181818181818,7.317073170731707,93.04878048780488,39.41048034934498,85.44642857142857,24.242424242424242,71.10983981693364,26.97201017811705
2002-04-01,21.81818181818182,13.520408163265307,23.59090909090909,0.08130081300813008,61.07317073170732,22.882096069869,43.57142857142857,22.467532467532468,75.4233409610984,28.49872773536896
2002-05-01,32.179752066115704,32.6530612244898,27.5,0.0,25.975609756097562,11.572052401746726,4.017857142857142,15.963203463203463,79.69107551487414,26.844783715012724
2002-06-01,33.52272727272727,26.53061224489796,38.52272727272727,0.0,10.487804878048781,3.493449781659389,2.142857142857143,8.54978354978355,81.2929061784897,18.765903307888042
2002-07-01,19.09090909090909,9.540816326530614,46.5,21.54471544715447,35.70731707317073,19.03930131004367,8.428571428571429,5.757575757575758,94.41647597254004,14.961832061068701
2002-08-01,10.692148760330578,0.12755102040816327,49.26136363636363,71.23983739837398,59.512195121951216,20.52401746724891,17.589285714285715,3.6796536796536796,99.77116704805492,11.259541984732824
2002-09-01,13.37809917355372,0.5102040816326531,48.57954545454545,96.34146341463415,86.58536585365854,50.43668122270743,70.26785714285714,7.738095238095238,96.85354691075516,7.633587786259542
