Total consumption - COAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/20?agg=1,0&geo=vvvvvvvvvvvvo&sec=g&freq=Q&start=200001&end=202203&ctype=map&ltype=pin&rtype=s&rse=0&pin=&maptype=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Mar 22 2023 18:09:54 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
Electric power : Middle Atlantic,short tons,COAL.CONS_TOT.MAT-98.Q,--,--,--,--,16589864,14552377,16809994,14908475,14780007,14050392,17475011,16778467,16682022,14365753,17488194,16215776,16914456,14915267,17065862,16932994,17447331,15504314,19065617,16511513,17646117,16405021,18699309,17237822,17525713,16588832,18642288,17237728,18006340,15378604,17557180,16102492,15452791,13003142,14736083,14309106,15844852,13781286,16486758,14241801,14145992,13272281,15278158,11273176,10747728,9777332,13242319,11070495,12522482,11247690,11902047,9561567,13106858,10374788,9493366,8699873,10818424,7561669,8795426,6146971,7218880,6250362,8896958,6482572,6657613,5921034,6428965,6249386,6886318,5559177,6357143,5620234,6401257,4273592,4828400,4693445,3811477,2874679,3676682,3795642,5375138,3719331,4962754,2708773,5068711,2767703,3111306
Electric power : New Jersey,short tons,COAL.CONS_TOT.NJ-98.Q,--,--,--,--,1189780,969364,1184169,962180,911825,788656,1193695,1175595,1211182,702400,1261872,1004395,1088324,940270,1287150,1112964,1216071,993408,1404400,1381302,1236990,994864,1245346,1157974,1065703,926475,1374135,1302850,1209492,760294,1330532,864528,807377,312954,712870,707552,892602,828445,875154,485909,565388,577959,663509,168700,190748,186137,445490,184905,325303,208316,268476,214706,543235,207510,275743,187439,416864,148126,170817,157617,175441,146632,191705,153464,174422,135962,163406,156825,186736,139222,149318,172878,153980,120444,129339,125861,117540,112015,128384,114700,136573,95731,169705,94123,174474,67136,0
Electric power : New York,short tons,COAL.CONS_TOT.NY-98.Q,--,--,--,--,2704385,2158794,2422484,1972100,1964770,1972381,2645209,2572034,2563857,2082949,2586224,2413039,2640339,2321822,2569017,2170837,2211989,1893356,2612338,2351658,2455314,2185737,2650441,2125685,2585624,2235327,2481520,2310511,2496275,2018214,2391593,1978752,2004760,1258690,1496654,1347737,1802644,1178052,1982780,1420768,1535651,1095387,1477356,483105,538943,257211,872459,559686,870708,429559,468604,455909,1087076,461862,378579,226041,510111,148912,249412,129470,199361,100100,302930,51473,80718,60615,42697,58152,153619,7006,87014,24299,141367,5617,39766,0,63711,0,0,0,0,0,0,0,0,0,0
Electric power : Pennsylvania,short tons,COAL.CONS_TOT.PA-98.Q,--,--,--,--,12695699,11424219,13203341,11974195,11903412,11289355,13636107,13030838,12906983,11580404,13640098,12798342,13185793,11653176,13209695,13649192,14019271,12617549,15048879,12778552,13953812,13224420,14803522,13954163,13874386,13427030,14786633,13624367,14300573,12600096,13835055,13259212,12640654,11431498,12526559,12253817,13149606,11774789,13628824,12335124,12044953,11598935,13137293,10621371,10018037,9333984,11924370,10325904,11326471,10609815,11164967,8890952,11476547,9705416,8839044,8286393,9891449,7264631,8375197,5859884,6844078,6003630,8402323,6277635,6402473,5724457,6222862,6034409,6545963,5412949,6120811,5423057,6105910,4147531,4659295,4567584,3630226,2762664,3548298,3680942,5238565,3623600,4793049,2614650,4894237,2700567,3111306
Electric power : East North Central,short tons,COAL.CONS_TOT.ENC-98.Q,--,--,--,--,53955231,50786870,58908179,51322692,51200515,52067749,61642498,54661961,55526935,51663813,60746690,56379874,56828910,53383215,59587449,58819884,58099170,54320627,63530139,58377404,57504746,54317768,62268195,57662331,59207220,55061474,63961597,58818749,60655660,56091202,63069425,58876465,55250913,50331465,55865503,55296340,57319932,51748386,61290192,53893580,53627404,48902580,59123649,48019818,42823257,41548526,51708719,45194743,48494308,44776758,52618629,48725819,52948806,42838160,49975219,43436638,45659497,37759682,46808610,33888105,33484293,32325875,43139768,33720402,35888723,33386260,38864317,35136226,37366726,32382592,39718678,34007921,33622020,25911826,31626188,24558947,20882884,16859984,27447842,24561746,28618019,24578656,33751414,21597307,27730484,23631540,27933077
Electric power : Illinois,short tons,COAL.CONS_TOT.IL-98.Q,--,--,--,--,11345998,10714351,13140705,10531311,11328970,11406821,14375834,12154453,12621711,10771460,14117610,12669250,13689680,12223847,14244190,13920372,13351658,12147075,14788919,13534134,13606898,11612860,14697951,14020814,14850465,12381432,15307523,13948440,14809180,12863064,15463362,14232165,12919591,12510936,14111865,14127633,14655985,11822640,14851249,14052409,13749754,12255925,14644725,13031513,11698044,10981648,13360729,12468105,13358670,11366631,14017213,13253199,13975487,11332308,13352979,12902407,12443203,9964040,12385266,8653081,7834550,8254190,11187704,8154394,8424413,7761887,9413118,8625011,9216201,8095528,10354552,7826837,8891429,6038462,7896168,6326423,3875299,3327995,5672916,4923474,6065526,6284403,7949053,5362334,7115716,5752825,6389658
Electric power : Indiana,short tons,COAL.CONS_TOT.IN-98.Q,--,--,--,--,14329461,13280336,15717631,14069745,13656189,13321439,16330321,14383572,14869246,14027177,15637055,13959857,14596368,14205872,15517591,15138840,15094673,14138230,16232762,14545114,14951769,14688523,16053553,14888164,15840049,14365031,16054424,14496174,15263411,14560615,16301323,15045528,14318479,13246968,13747509,13135709,14447866,12822785,15330564,13747206,13157916,12100257,14855940,12589894,11173239,10764447,13024285,11733586,11280650,10888467,12685176,11816210,13593017,11572409,12666090,10750931,10691710,9278202,11216415,7919883,8750322,8328129,10304092,8702226,8919246,7700805,9802558,9129360,9794738,9184094,10254304,9910827,8754747,7261721,8376191,6606078,5345796,4813372,7596935,6277599,7461750,6608293,9030561,4627385,6615989,6672091,7260141
Electric power : Michigan,short tons,COAL.CONS_TOT.MI-98.Q,--,--,--,--,8452329,8076070,9346162,8053772,7707302,7925082,9298484,8435765,8036705,8225382,9104871,8734042,8560587,7989802,9274466,9487389,8739456,8679336,9868529,8985469,8639162,8447221,9417217,8422849,8683129,8665068,9985391,9240062,9152906,8878513,9452271,8992421,8858272,8359705,9321404,8790343,8825034,8132535,9818179,8200200,7719602,8052272,9051822,7511735,6718273,6757626,8609006,7584065,7895448,7157433,8625930,7973903,7912558,6565669,8332028,6590738,7119135,7255699,8179215,6932760,6064698,5118997,6523841,5418272,5986963,6500850,6309450,5260810,6064987,5654902,7179615,5338713,5972159,4958645,5943554,4403871,3773745,2635581,4682831,4826974,5582844,4315600,5851010,4969385,4851892,4791373,5503191
Electric power : Ohio,short tons,COAL.CONS_TOT.OH-98.Q,--,--,--,--,13983112,12958471,14118895,12773692,13311712,13889411,14905466,13810767,14239699,13145274,15116279,14723074,13912860,13302728,14084436,13693922,15066869,13307478,16077055,15155807,14515957,13613816,15675131,14799426,14374607,13726801,16218003,15132670,15560317,14046026,14950631,14396498,13625053,11592336,12980475,12898460,13719775,12953823,14748022,12290585,13103920,11424417,14013399,9598041,9097198,9054469,10685449,8282025,10285658,9823083,10757782,9756031,11464190,8672993,9806285,8473864,9825604,6488759,8659683,5544071,6578757,6534882,9082105,6861091,7510784,7028759,7585422,6397808,7199012,5166481,6586420,6169183,5832513,4388345,5399938,3974591,4556395,3372087,5340489,5492212,5157534,3801387,6092092,3978655,5409033,3720293,5160478
Electric power : Wisconsin,short tons,COAL.CONS_TOT.WI-98.Q,--,--,--,--,5844331,5757642,6584786,5894172,5196342,5524996,6732393,5877404,5759574,5494520,6770875,6293651,6069415,5660965,6466766,6579360,5846514,6048508,6562873,6156880,5790961,5955349,6424343,5531079,5458970,5923142,6396256,6001403,5869846,5742984,6901838,6209853,5529518,4621520,5704250,6344195,5671272,6016603,6542178,5603180,5896212,5069709,6557763,5288635,4136503,3990336,6029250,5126962,5673882,5541144,6532528,5926476,6003554,4694781,5817837,4718698,5579845,4772982,6368031,4838310,4255966,4089677,6042026,4584419,5047317,4393959,5753769,5723237,5091788,4281587,5343787,4762361,4171172,3264653,4010337,3247984,3331649,2710949,4154671,3041487,4350365,3568973,4828698,2659548,3737854,2694958,3619609
